0x55bcc060c149, 4000, 0, 0
0x55bcc060c134, 4000, 0, 0
0x55bcc060c129, 4000, 0, 0, 0x55bcc060c146, 4000
0x55bcc060c146, 4000, 0, 0, 0x55bcc060c15b, 4000
0x55bcc060c15b, 4000, 0, 0, 0x55bcc060c186, 4000
0x55bcc060c186, 4000, 3996, 4
0x55bcc060c17c, 4000, 0, 0
0x7fbe938ab180, 1404, 1350, 54
0x7fbe938ab13e, 1350, 864, 486
0x7fbe938ab138, 1350, 0, 1350
0x7fbe9389f2ff, 1212, 0, 1212
0x7fbe9389f2f0, 1212, 0, 1212
0x7fbe9389f309, 1212, 1210, 2
0x7fbe9389d118, 1180, 1091, 89
0x7fbe938ab0b8, 664, 0, 664
0x7fbe938ab0cb, 664, 611, 53
0x7fbe938ab160, 508, 486, 22
0x7fbe938ab174, 486, 486, 0
0x7fbe938ab147, 486, 486, 0
0x7fbe938a5725, 286, 0, 0
0x7fbe9389c5db, 184, 0, 184
0x7fbe9389c57a, 184, 85, 99
0x7fbe9389c53a, 184, 0, 184
0x7fbe9389c530, 184, 0, 184
0x7fbe9389c5e4, 184, 184, 0
0x7fbe938b0600, 132, 9, 123
0x7fbe938b1a20, 124, 0, 0, 0x7fbe9389c45c, 78, 0x7fbe9389c395, 15, 0x7fbe938a3bdc, 13, 0x7fbe938a3ba9, 12, 0x7fbe938a4085, 2, 0x7fbe9389b517, 1, 0x7fbe938aa701, 1, 0x7fbe938aa722, 1, 0x7fbe93893ebc, 1
0x7fbe938b0615, 123, 2, 121
0x7fbe938b061a, 121, 115, 6
0x7fbe9389ee01, 101, 0, 101
0x7fbe9389ee48, 101, 0, 101
0x7fbe9389ee52, 101, 0, 101
0x7fbe9389ee5b, 101, 17, 84
0x7fbe9389c5b2, 101, 6, 95
0x7fbe9389edf0, 101, 0, 101
0x7fbe9389ef51, 98, 0, 0, 0x7fbe9389ef70, 81, 0x7fbe9389f170, 17
0x7fbe9389ef47, 98, 0, 98
0x7fbe9389c820, 98, 2, 96
0x7fbe9389c82d, 96, 37, 59
0x7fbe9389c5cd, 95, 95, 0
0x7fbe9389c5bf, 95, 0, 95
0x7fbe9389c5cd, 89, 89, 0
0x7fbe9389d1f1, 89, 6, 83
0x7fbe9389c5bf, 89, 0, 89
0x7fbe9389c4c0, 89, 0, 0
0x7fbe9389d1c3, 89, 0, 0
0x7fbe9389d18a, 89, 0, 0
0x7fbe9389d181, 89, 0, 89
0x7fbe9389d166, 89, 0, 89
0x7fbe9389d133, 89, 6, 83
0x7fbe9389ef70, 87, 84, 3
0x7fbe9389c7b0, 85, 0, 85
0x7fbe9389c7ca, 85, 0, 0
0x7fbe9389c82d, 85, 60, 25
0x7fbe9389c330, 84, 1, 83
0x7fbe9389d0d0, 84, 0, 84
0x7fbe9389ee7f, 84, 6, 78
0x7fbe9389d10a, 84, 84, 0
0x7fbe9389ee6b, 84, 0, 84
0x7fbe9389cfd4, 83, 0, 0
0x7fbe9389d1f9, 83, 0, 83
0x7fbe9389d253, 83, 0, 0, 0x7fbe9389ef24, 78, 0x7fbe93894bd3, 1, 0x7fbe93894c8e, 1, 0x7fbe938949a1, 1, 0x7fbe93894b17, 1, 0x7fbe93894a5b, 1
0x7fbe9389c360, 83, 0, 83
0x7fbe9389c381, 83, 64, 19
0x7fbe9389d242, 83, 0, 83
0x7fbe9389d233, 83, 1, 82
0x7fbe9389d219, 83, 0, 83
0x7fbe9389d20e, 83, 0, 83
0x7fbe9389d158, 83, 0, 83
0x7fbe9389d209, 83, 0, 83
0x7fbe9389c3e9, 83, 0, 0, 0x7fbe9389c88a, 83
0x7fbe9389c8a2, 83, 0, 0, 0x7fbe9389d1f1, 83
0x7fbe9389c88a, 83, 83, 0
0x7fbe9389c748, 83, 0, 83
0x7fbe9389c757, 83, 0, 83
0x7fbe9389c76b, 83, 9, 74
0x7fbe9389f5d8, 81, 81, 0
0x7fbe9389f4c4, 81, 81, 0
0x7fbe9389c45c, 78, 78, 0
0x7fbe9389ef24, 78, 78, 0
0x7fbe9389ee8c, 78, 7, 71
0x7fbe9389c450, 78, 0, 0
0x7fbe9389c77b, 74, 0, 74
0x7fbe9389c78b, 74, 0, 0
0x7fbe9389c783, 74, 0, 74
0x7fbe9389eef4, 71, 0, 0
0x7fbe9389eec5, 71, 0, 71
0x7fbe9389eea0, 71, 0, 71
0x7fbe9389ee96, 71, 0, 71
0x7fbe9389c39d, 64, 0, 64
0x7fbe9389c3aa, 64, 0, 64
0x7fbe9389c3b3, 64, 64, 0
0x7fbe9389c83b, 59, 0, 0
0x7fbe938ab18e, 54, 54, 0
0x7fbe938ab11b, 54, 7, 47
0x7fbe938ae3d8, 54, 1, 53
0x7fbe938ab089, 54, 1, 53
0x7fbe938ab0d8, 54, 0, 0
0x7fbe938ab0cb, 53, 52, 1
0x7fbe938ae3e5, 53, 47, 6
0x7fbe938ab096, 53, 0, 53
0x7fbe938ab0a6, 53, 0, 53
0x7fbe938ab0ae, 53, 0, 53
0x7fbe938ad747, 53, 52, 1
0x7fbe938ab0d0, 53, 0, 53
0x7fbe938a0a06, 47, 2, 45
0x7fbe938ab122, 47, 0, 47
0x7fbe938ab13e, 47, 47, 0
0x7fbe938a0a18, 45, 0, 45
0x7fbe938a0a22, 45, 45, 0
0x7fbe93893138, 41, 40, 1
0x7fbe93893128, 41, 0, 41
0x7fbe9389ec33, 39, 1, 38
0x7fbe9389ec86, 39, 0, 0, 0x7fbe8039b670, 2, 0x7fbe803b87e0, 2, 0x7fbe803b8ce0, 2, 0x7fbe803b8db0, 2, 0x7fbe8039bae0, 1, 0x7fbe8039c850, 1, 0x7fbe803a4bb0, 1, 0x7fbe8039b630, 1, 0x7fbe8039b820, 1, 0x7fbe8039b1d0, 1
0x7fbe9389ec80, 39, 0, 39
0x7fbe9389ec47, 38, 38, 0
0x7fbe9389ec3c, 38, 0, 38
0x7fbe938a43f8, 36, 3, 33
0x7fbe938a4278, 36, 33, 3
0x7fbe938a442f, 33, 33, 0
0x7fbe938aa5ae, 32, 1, 31
0x7fbe938b460e, 32, 31, 1
0x7fbe938aa5c4, 31, 7, 24
0x7fbe938aa5bb, 31, 0, 31
0x7fbe9389c83b, 25, 0, 0
0x7fbe938aa5cc, 24, 24, 0
0x7fbe938ab174, 22, 22, 0
0x7fbe938ab164, 22, 0, 22
0x7fbe9389874b, 19, 3, 16
0x7fbe9389873e, 19, 0, 19
0x7fbe9389c386, 19, 0, 0
0x7fbe93893f71, 19, 2, 17
0x7fbe938ad810, 19, 1, 18
0x7fbe938ae4a0, 18, 1, 17
0x7fbe803b8300, 18, 0, 18
0x7fbe803b8302, 18, 3, 15
0x7fbe938920a0, 18, 0, 0, 0x7fbe938ae4a0, 18
0x7fbe938ad81a, 18, 0, 0, 0x7fbe938ad840, 8, 0x7fbe938ad920, 1, 0x7fbe938ad828, 1, 0x7fbe938ada10, 1, 0x7fbe938ad948, 1, 0x7fbe938ada50, 1, 0x7fbe938ad9e8, 1, 0x7fbe938ad9c0, 1, 0x7fbe938ada70, 1, 0x7fbe938ada30, 1
0x7fbe9389f170, 17, 0, 17
0x7fbe9389f192, 17, 0, 0
0x7fbe9389f4c4, 17, 17, 0
0x7fbe9389f4b0, 17, 0, 17
0x7fbe938ae4e7, 17, 0, 0, 0x7fbe938a431d, 4, 0x7fbe9389e284, 2, 0x7fbe9389b0e9, 1, 0x7fbe93892c1f, 1, 0x7fbe938a0c4a, 1, 0x7fbe938a072f, 1, 0x7fbe938a56d0, 1, 0x7fbe938944e6, 1, 0x7fbe9389e5b8, 1, 0x7fbe938a1bdc, 1
0x7fbe9389ef80, 17, 17, 0
0x7fbe93893f77, 17, 17, 0
0x7fbe938ae4c4, 17, 1, 16
0x7fbe9389f17d, 17, 0, 17
0x7fbe93898751, 16, 0, 0
0x7fbe938ae4dc, 16, 0, 16
0x7fbe9389c395, 15, 0, 15
0x7fbe9389c39d, 15, 0, 15
0x7fbe9389c3aa, 15, 4, 11
0x7fbe803b8307, 15, 15, 0
0x7fbe9389e360, 15, 14, 1
0x7fbe938a3bdc, 15, 12, 3
0x7fbe93892e9f, 15, 2, 13
0x7fbe9389c3b3, 14, 14, 0
0x7fbe93897fb0, 13, 4, 9
0x7fbe93892ea5, 13, 13, 0
0x7fbe938b1a00, 12, 6, 6
0x7fbe938a3b90, 12, 0, 0
0x7fbe938a3bb6, 12, 12, 0
0x7fbe938a3bd1, 12, 0, 0
0x7fbe938a3bc8, 12, 9, 3
0x7fbe93893df4, 12, 4, 8
0x7fbe938a3ba9, 12, 0, 12
0x7fbe938b0660, 11, 1, 10
0x7fbe9389eef4, 11, 0, 0
0x7fbe9389eec5, 11, 0, 11
0x7fbe938b4580, 11, 5, 6
0x7fbe938b067a, 10, 5, 5
0x7fbe938941fb, 10, 3, 7
0x7fbe9389e4c8, 10, 9, 1
0x7fbe938ae5c0, 9, 9, 0
0x7fbe938b4390, 9, 3, 6
0x7fbe93893170, 9, 9, 0
0x7fbe938a3bf0, 9, 0, 0, 0x7fbe938a3ea8, 5, 0x7fbe9389b4e9, 4
0x7fbe938ae5e0, 9, 0, 0
0x7fbe9389c9c0, 9, 9, 0
0x7fbe9389c78b, 9, 0, 0
